torre_id,datalog_id,canal_conexion_dl,sensor_id,altura_medicion,descripcion,unidades,numero_serie,marca,modelo,slope,offset,long_brazo_horizontal,long_brazo_vertical,orientacion,tipo,clase_sensor,anio_instalacion,fecha_instalacion,fecha_certificacion,fecha_calibracion,duracion_calibracion,activo
TRE-011,HNA-T2-DatLog-1,13,HNA-T2-V-1,75.0,veleta                                  ,deg,4190341,Thies Clima,4.3151.00.212,144.0,0.157,2.0,,348.0,,,2019.0,,,,,True
TRE-011,HNA-T2-DatLog-1,14,HNA-T2-V-2,39.0,veleta                                  ,deg,4190342,Thies Clima,4.3151.00.212,144.0,0.9205,2.0,,348.0,,,2019.0,,,,,True
TRE-013,TPI-T1-DatLog-1,13,TPI-T1-V-1,74.5,veleta                                  ,deg,1799-00013085,NRG, 200P,144.0,-0.1139,2.0,0.95,6.0,,,2019.0,,,,,True
TRE-013,TPI-T1-DatLog-1,14,TPI-T1-V-2,39.0,veleta                                  ,deg,1799-00015605,NRG, 200P,144.0,-0.0777,2.0,0.95,6.0,,,2019.0,,,,,True
TRE-010,HNA-T1-DatLog-1,13,HNA-T1-V-1,95.0,veleta                                  ,deg,4190343,Thies Clima,4.3151.00.212,144.0,0.5108,2.0,,2.0,,,2019.0,,,,,True
TRE-010,HNA-T1-DatLog-1,14,HNA-T1-V-2,50.0,veleta                                  ,deg,4190344,Thies Clima,4.3151.00.212,144.0,0.5903,2.0,,2.0,,,2019.0,,,,,True
TPI-T2,TPI-T2-DatLog-1,13,TPI-T2-V-1,77.0,veleta                                  ,deg,S/S,NRG, 200P,,0.0,1.85,0.952,0.0,,,2016.0,,,,,True
TPI-T2,TPI-T2-DatLog-1,14,TPI-T2-V-2,38.0,veleta                                  ,deg,S/S,NRG, 200P,,0.0,1.85,0.952,0.0,,,2016.0,,,,,True
TPI-T3,TPI-T3-DatLog-1,13,TPI-T3-V-1,77.0,veleta                                  ,deg,S/S,NRG, 200P,,0.0,1.85,0.952,5.0,,,2016.0,,,,,True
TPI-T3,TPI-T3-DatLog-1,14,TPI-T3-V-2,38.0,veleta                                  ,deg,S/S,NRG, 200P,,0.0,1.85,0.952,5.0,,,2016.0,,,,,True
TPI-T4,TPI-T4-DatLog-1,13,TPI-T4-V-1,77.0,veleta                                  ,deg,S/S,NRG, 200P,,10.0,1.85,0.952,10.0,,,2016.0,,,,,True
TPI-T4,TPI-T4-DatLog-1,14,TPI-T4-V-2,38.0,veleta                                  ,deg,S/S,NRG, 200P,,10.0,1.85,0.952,10.0,,,2016.0,,,,,True
TPI-T5,TPI-T5-DatLog-1,13,TPI-T5-V-1,77.0,veleta                                  ,deg,S/S,NRG, 200P,,0.0,1.85,0.952,0.0,,,2016.0,,,,,True
TPI-T5,TPI-T5-DatLog-1,14,TPI-T5-V-2,38.0,veleta                                  ,deg,S/S,NRG, 200P,,0.0,1.85,0.952,0.0,,,2016.0,,,,,True
